EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
630,"715,404","2,075,243","2,589,492","181,767","2,717,886","1,047,042","3,360,231"
630,"720,158","1,430,755","-64,782","261,872","-1,686,421","-4,153,981","2,728,944"
630,"724,913","4,220,584","2,112,962","134,749","398,604","-144,652","-2,895,445"
630,"729,669","-1,611,759","-1,744,723","-3,476,048","-547,283","-3,740,531","-374,007"
630,"734,427","2,719,142","123,013","-124,866","1,636,357","17,717","4,072,043"
630,"739,185","3,591,431","-812,439","2,353,861","3,729,154","1,390,296","331,594"
630,"743,945","-144,943","-706,471","-2,673,591","-1,267,881","-4,573","-1,407,991"
630,"748,706","2,136,225","855,626","-2,706,175","-3,842,266","1,139,878","-2,987,203"
630,"753,468","-1,743,479","1,017,656","1,163,513","-1,307,712","-4,213,475","-1,016,794"
630,"758,231","1,517,753","23,643","6,893,423","-123,901","-422,136","9,214"
630,"762,995","1,811,976","-1,526,153","-5,778,874","-1,070,711","-160,374","1,204,569"
630,"767,761","281,336","640,686","281,352","2,348,029","641,897","3,898,789"
630,"772,527","-201,317","-611,977","-924,867","-1,545,903","3,752,858","-765,929"
630,"777,294","644,273","-647,207","-1,939,912","-485,536","321,486","-2,905,841"
630,"782,062","2,310,905","2,310,401","2,800,338","5,086,416","3,616,963","1,331,782"
630,"786,831","-4,550,927","-6,066,587","-3,039,621","-2,870,078","-3,542,387","-12,697"
630,"791,601","-5,587,156","1,162,411","-643,455","-4,575,224","1,160,183","-592,374"
630,"796,371","4,549,638","559,256","7,679,402","5,591,813","6,286,448","-138,653"
630,"801,143","2,574,782","268,269","1,399,003","3,216,465","2,254,044","864,128"
630,"805,915","2,681,701","353,857","649,801","329,424","3,430,172","329,657"
630,"810,688","2,368,798","2,368,996","2,690,214","1,620,331","3,438,011","1,941,147"
630,"815,461","4,081,247","123,926","3,012,826","-1,051,126","2,263,624","1,301,576"
630,"820,236","-316,394","1,929,762","645,987","-1,064,953","2,142,769","-529,985"
